NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
HR04B;00647;ČEMINAC;ČEMINAC;no;2909;61438003;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR04B;00655;ČEPIN;ČEPIN;no;11599;120683513;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR04B;00663;DARDA;DARDA;no;6908;94132746;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR004L;no;Osijek
HR047;00671;DARUVAR;DARUVAR;no;11633;64676893;2;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;00680;DAVOR;DAVOR;no;3015;42717505;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR046;06033;DEKANOVEC;DEKANOVEC;no;774;6045803;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR031;00698;DELNICE;DELNICE;no;5952;230898067;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR043;00701;DESINIĆ;DESINIĆ;no;2933;44975107;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR047;00710;DEŽANOVAC;DEŽANOVAC;no;2715;102669852;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR035;00728;DICMO;DICMO;no;2802;69042852;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR005L;no;Split
HR031;00744;DOBRINJ;DOBRINJ;no;2078;55096299;3;no;yes;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR046;00752;DOMAŠINEC;DOMAŠINEC;no;2251;35276682;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR046;00787;DONJA DUBRAVA;DONJA DUBRAVA;no;1920;19006535;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04B;05762;DONJA MOTIČINA;DONJA MOTIČINA;no;1652;52026815;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR043;00795;DONJA STUBICA;DONJA STUBICA;no;5680;43543688;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR001L;no;Zagreb
HR044;00809;DONJA VOĆA;DONJA VOĆA;no;2443;35998750;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
HR04A;00817;DONJI ANDRIJEVCI;DONJI ANDRIJEVCI;no;3709;56982078;3;no;no;no;N/A;N/A;N/A;N/A;N/A;N/A;HR003L;no;Slavonski Brod
